2014-06-05,USD,INR,59.18132
2014-06-06,USD,INR,59.05399
2014-06-07,USD,INR,59.0141
2014-06-08,USD,INR,59.07106
2014-06-09,USD,INR,59.13212
2014-06-10,USD,INR,59.18744
2014-06-11,USD,INR,59.28095
2014-06-12,USD,INR,59.27715
2014-06-13,USD,INR,59.63071
2014-06-14,USD,INR,59.6878
2014-06-15,USD,INR,59.72272
2014-06-16,USD,INR,60.07744
2014-06-17,USD,INR,60.18837
2014-06-18,USD,INR,60.29986
2014-06-19,USD,INR,60.11722
2014-06-20,USD,INR,60.14766
2014-06-21,USD,INR,60.19167
2014-06-22,USD,INR,60.17602
2014-06-23,USD,INR,60.16536
2014-06-24,USD,INR,60.17131
2014-06-25,USD,INR,60.10414
2014-06-26,USD,INR,60.1944
2014-06-27,USD,INR,60.05745
2014-06-28,USD,INR,60.04474
2014-06-29,USD,INR,60.04251
2014-06-30,USD,INR,60.07272
2014-07-01,USD,INR,60.04801
2014-07-02,USD,INR,59.76703
2014-07-03,USD,INR,59.74179
2014-07-04,USD,INR,59.73042
2014-07-05,USD,INR,59.73913
2014-07-06,USD,INR,59.74326
2014-07-07,USD,INR,59.90582
2014-07-08,USD,INR,59.77577
2014-07-09,USD,INR,59.76953
2014-07-10,USD,INR,60.10384
2014-07-11,USD,INR,59.97771
2014-07-12,USD,INR,60.02075
2014-07-13,USD,INR,60.04248
2014-07-14,USD,INR,60.092
2014-07-15,USD,INR,60.10285
2014-07-16,USD,INR,60.10236
2014-07-17,USD,INR,60.15428
2014-07-18,USD,INR,60.27262
2014-07-19,USD,INR,60.19873
2014-07-20,USD,INR,60.19086
2014-07-21,USD,INR,60.24544
2014-07-22,USD,INR,60.15066
2014-07-23,USD,INR,60.05733
2014-07-24,USD,INR,60.08457
2014-07-25,USD,INR,60.0382
2014-07-26,USD,INR,60.04333
2014-07-27,USD,INR,60.03502
2014-07-28,USD,INR,60.0503
2014-07-29,USD,INR,60.09193
2014-07-30,USD,INR,60.11861
2014-07-31,USD,INR,60.47212
2014-08-01,USD,INR,60.82947
2014-08-02,USD,INR,60.97431
